id,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
5934,Hyundai Creta,Hyundai,Creta,4,66000,Dealer,Petrol,Automatic,13,1591,121.3,5,1199000
5935,Hyundai Grand,Hyundai,Grand,6,78389,Dealer,Diesel,Manual,24,1120,70,5,540000
5936,Chevrolet Tavera,Chevrolet,Tavera,16,100000,Individual,Diesel,Manual,14.8,2499,80,10,230000
5937,Hyundai i20,Hyundai,i20,6,64000,Dealer,Diesel,Manual,22.54,1396,88.73,5,660000
5938,Hyundai i20,Hyundai,i20,2,20000,Individual,Petrol,Manual,18.6,1197,81.86,5,630000
5939,Toyota Etios,Toyota,Etios,7,54892,Dealer,Diesel,Manual,23.59,1364,67.06,5,430000
5940,Maruti Swift Dzire,Maruti,Swift Dzire,1,22200,Dealer,Diesel,Automatic,28.4,1248,74.02,5,790000
5941,Honda Jazz,Honda,Jazz,6,82000,Dealer,Diesel,Manual,27.3,1498,98.6,5,475000
5942,Honda Amaze,Honda,Amaze,2,8345,Individual,Petrol,Automatic,19,1199,88.76,5,750000
5943,Maruti Ritz,Maruti,Ritz,10,45000,Dealer,Diesel,Manual,23.2,1248,73.94,5,311000
5944,Maruti Ritz,Maruti,Ritz,5,75000,Dealer,Diesel,Manual,23.2,1248,73.94,5,385000
5945,Maruti Swift,Maruti,Swift,8,54000,Individual,Diesel,Manual,22.9,1248,74,5,450000
5946,Hyundai Grand,Hyundai,Grand,4,37903,Dealer,Petrol,Manual,18.9,1197,81.86,5,643000
5947,Maruti Celerio,Maruti,Celerio,6,71500,Dealer,Petrol,Manual,23.1,998,67.04,5,295000
5948,Maruti Swift Dzire,Maruti,Swift Dzire,6,72000,Dealer,Diesel,Manual,26.59,1248,74,5,695000
5949,Hyundai Grand,Hyundai,Grand,5,5000,Individual,Diesel,Manual,24,1120,70,5,535000
5950,Hyundai EON,Hyundai,EON,4,30000,Individual,Petrol,Manual,20.3,998,68.05,5,320000
5951,Renault Duster,Renault,Duster,8,80000,Dealer,Diesel,Manual,19.87,1461,83.8,5,450000
5952,Volkswagen Polo,Volkswagen,Polo,8,83500,Dealer,Diesel,Manual,15.11,1598,103.6,5,465000
5953,Hyundai i20,Hyundai,i20,8,30000,Dealer,Diesel,Manual,21.9,1396,90,5,400000
5954,Maruti Ritz,Maruti,Ritz,10,80000,Individual,Diesel,Manual,21.1,1248,73.9,5,310000
5955,Chevrolet Optra,Chevrolet,Optra,16,139000,Dealer,Petrol,Manual,17.4,1599,104,5,180000
5956,Honda BRV,Honda,BRV,2,26473,Dealer,Diesel,Manual,21.9,1498,98.6,7,970000
5957,Mahindra Thar,Mahindra,Thar,9,15000,Individual,Diesel,Manual,18.06,2523,63,7,153000
5958,Hyundai Grand,Hyundai,Grand,5,21689,Dealer,Petrol,Automatic,18.9,1197,82,5,600000
5959,Maruti Swift,Maruti,Swift,3,13300,Individual,Petrol,Manual,22,1197,81.8,5,650000
5960,Tata Tiago,Tata,Tiago,2,20000,Individual,Petrol,Automatic,23.84,1199,83.83,5,540000
5961,Jaguar XJ,Jaguar,XJ,6,58000,Dealer,Diesel,Automatic,12.9,2993,270.88,5,4500000
5962,Hyundai i10,Hyundai,i10,13,50000,Individual,Petrol,Manual,20.36,1197,78.9,5,175000
5963,Hyundai Xcent,Hyundai,Xcent,3,37000,Dealer,Petrol,Automatic,19.1,1197,82,5,599000
5964,Hyundai i20,Hyundai,i20,6,72000,Dealer,Diesel,Manual,22.54,1396,88.73,5,625000
5965,Honda City,Honda,City,2,20000,Individual,Petrol,Manual,17.4,1497,117.6,5,1075000
5966,Hyundai i10,Hyundai,i10,11,48216,Dealer,Petrol,Manual,20.36,1197,78.9,5,350000
5967,Hyundai Verna,Hyundai,Verna,6,115958,Dealer,Diesel,Manual,22.32,1582,126.3,5,550000
5968,Hyundai i10,Hyundai,i10,9,36000,Individual,Petrol,Manual,19.81,1086,68.05,5,215000
5969,Hyundai i20,Hyundai,i20,2,6258,Dealer,Petrol,Automatic,17.4,1197,81.86,5,775000
5970,Ford Figo,Ford,Figo,6,120000,Individual,Diesel,Manual,20,1399,68.05,5,360000
5971,Volkswagen Polo,Volkswagen,Polo,4,25000,Individual,Diesel,Manual,20.14,1498,88,5,750000
5972,Renault Duster,Renault,Duster,4,80000,Individual,Diesel,Manual,19.87,1461,83.8,5,730000
5973,Hyundai i20,Hyundai,i20,8,62000,Dealer,Diesel,Manual,21.9,1396,88.76,5,435000
5974,Mahindra XUV500,Mahindra,XUV500,9,138489,Dealer,Diesel,Manual,15.1,2179,140,7,500000
5975,Maruti Swift,Maruti,Swift,4,21000,Dealer,Petrol,Manual,20.4,1197,83.11,5,495000
5976,Mahindra KUV,Mahindra,KUV,5,30000,Individual,Diesel,Manual,25.32,1198,77,6,350000
5977,Maruti Swift,Maruti,Swift,13,85000,Dealer,Diesel,Manual,17.8,1248,75,5,275000
5978,Mahindra Bolero,Mahindra,Bolero,12,15000,Individual,Diesel,Manual,13.6,2523,63,7,350000
5979,Maruti Alto,Maruti,Alto,7,80000,Individual,Petrol,Manual,23.95,998,67.05,5,270000
5980,Maruti Vitara,Maruti,Vitara,4,64500,Dealer,Diesel,Manual,24.3,1248,88.5,5,850000
5981,Hyundai i10,Hyundai,i10,11,171289,Individual,Petrol,Manual,20.36,1197,78.9,5,230000
5982,Mahindra XUV500,Mahindra,XUV500,7,110000,Individual,Diesel,Manual,15.1,2179,140,7,750000
5983,Maruti Baleno,Maruti,Baleno,5,23243,Dealer,Petrol,Manual,21.4,1197,83.1,5,687000
5984,Hyundai i10,Hyundai,i10,11,69000,Dealer,Petrol,Manual,20.36,1197,78.9,5,300000
5985,Honda City,Honda,City,3,8600,Individual,Petrol,Manual,17.4,1497,117.6,5,970000
5986,Maruti Ciaz,Maruti,Ciaz,6,30000,Individual,Diesel,Manual,28.09,1248,88.5,5,750000
5987,Hyundai i10,Hyundai,i10,12,56700,Dealer,Petrol,Manual,20.36,1197,78.9,5,245000
5988,Renault KWID,Renault,KWID,3,8000,Dealer,Petrol,Automatic,24.04,999,67,5,430000
5989,Mercedes-Benz GLA,Mercedes-Benz,GLA,7,65000,Dealer,Diesel,Automatic,17.9,2143,136,5,1700000
5990,Maruti Swift Dzire,Maruti,Swift Dzire,3,18000,Dealer,Diesel,Automatic,28.4,1248,74.02,5,775000
5991,Maruti SX4,Maruti,SX4,9,49508,Dealer,Diesel,Manual,21.5,1248,88.8,5,421000
5992,Hyundai i20,Hyundai,i20,2,9000,Dealer,Petrol,Manual,17.19,1197,81.86,5,675000
5993,Hyundai Grand,Hyundai,Grand,5,64300,Dealer,Diesel,Manual,24,1120,70,5,425000
5994,Tata Manza,Tata,Manza,9,70000,Individual,Diesel,Manual,21.12,1248,88.8,5,375000
5995,Maruti Swift,Maruti,Swift,6,68297,Dealer,Diesel,Manual,25.2,1248,74,5,650000
5996,Honda City,Honda,City,3,25000,Individual,Petrol,Manual,17.4,1497,117.6,5,1050000
5997,Hyundai Verna,Hyundai,Verna,10,41600,Dealer,Petrol,Manual,16.2,1599,103.2,5,459000
5998,Maruti Swift,Maruti,Swift,2,14000,Individual,Petrol,Automatic,21.21,1197,81.8,5,690000
5999,Hyundai Xcent,Hyundai,Xcent,3,55000,Individual,Diesel,Manual,25.4,1186,73.97,5,650000
6000,Tata Harrier,Tata,Harrier,2,20000,Individual,Diesel,Manual,17,1956,138.1,5,1500000
6001,Toyota Innova,Toyota,Innova,4,14000,Dealer,Diesel,Automatic,13.68,2393,147.51,7,2200000
6002,Maruti Alto,Maruti,Alto,4,35000,Individual,Petrol,Manual,24.7,796,47.3,5,290000
6003,Volvo S60,Volvo,S60,9,95000,Dealer,Diesel,Automatic,13.2,2400,215,5,1275000
6004,Maruti Wagon R,Maruti,Wagon R,6,62400,Dealer,Petrol,Manual,18.9,998,67.1,5,370000
6005,Hyundai i10,Hyundai,i10,12,39054,Dealer,Petrol,Manual,19.81,1086,68.05,5,250000
6006,Maruti Alto,Maruti,Alto,4,21444,Dealer,Petrol,Manual,24.7,796,47.3,5,311000
6007,Jeep Compass,Jeep,Compass,3,42000,Individual,Diesel,Manual,17.1,1956,170,5,1700000
6008,Mahindra XUV500,Mahindra,XUV500,7,65436,Dealer,Diesel,Manual,15.1,2179,140,7,900000
6009,Mahindra Scorpio,Mahindra,Scorpio,14,76600,Dealer,Diesel,Manual,10.5,2179,120,7,375000
6010,Maruti Swift,Maruti,Swift,9,140000,Individual,Diesel,Manual,22.9,1248,74,5,340000
6011,Toyota Innova,Toyota,Innova,13,132838,Individual,Diesel,Manual,12.8,2494,102,8,400000
6012,Toyota Corolla,Toyota,Corolla,15,100000,Individual,Petrol,Manual,13.4,1794,125,5,500000
6013,Maruti Swift Dzire,Maruti,Swift Dzire,7,50000,Individual,Diesel,Manual,23.4,1248,74,5,490000
6014,Maruti Wagon R,Maruti,Wagon R,4,14000,Dealer,Petrol,Manual,21.5,1197,81.8,5,445000
6015,Maruti A,Maruti,A,12,106742,Dealer,Petrol,Manual,19,998,66.1,5,229000
6016,Honda WR-V,Honda,WR-V,4,20000,Individual,Petrol,Manual,17.5,1199,88.7,5,850000
6017,Maruti Ritz,Maruti,Ritz,9,80000,Dealer,Diesel,Manual,21.1,1248,73.9,5,385000
6018,Hyundai EON,Hyundai,EON,4,39667,Dealer,Petrol,Manual,21.1,814,55.2,5,320000
6019,Mahindra TUV,Mahindra,TUV,3,31809,Dealer,Diesel,Manual,18.49,1493,100,7,860000
6020,Hyundai Santro,Hyundai,Santro,1,1780,Individual,Petrol,Manual,20.3,1086,68.07,5,520000
6021,Maruti Swift,Maruti,Swift,9,123000,Individual,Diesel,Manual,22.9,1248,74,5,475000
6022,Hyundai i10,Hyundai,i10,5,38156,Dealer,Petrol,Manual,19.81,1086,68.05,5,463000
6023,Renault KWID,Renault,KWID,4,10000,Individual,Petrol,Manual,23.01,999,67,5,400000
6024,Hyundai i10,Hyundai,i10,6,21000,Dealer,Petrol,Manual,20.36,1197,78.9,5,365000
6025,Maruti Swift,Maruti,Swift,8,67379,Dealer,Diesel,Manual,22.9,1248,74,5,380000
6026,Honda Amaze,Honda,Amaze,3,11000,Dealer,Petrol,Manual,17.8,1198,86.7,5,690000
6027,Chevrolet Beat,Chevrolet,Beat,11,70000,Individual,Petrol,Manual,18.6,1199,79.4,5,250000
6028,Hyundai Grand,Hyundai,Grand,4,24000,Dealer,Petrol,Automatic,18.9,1197,82,5,499000
6029,Honda Brio,Honda,Brio,8,79002,Dealer,Petrol,Manual,19.4,1198,86.8,5,250000
6030,Hyundai i20,Hyundai,i20,5,73575,Individual,Petrol,Manual,18.6,1197,81.83,5,450000
6031,Maruti Ertiga,Maruti,Ertiga,3,40000,Individual,Petrol,Manual,17.5,1373,91.1,7,650000
6032,Honda WR-V,Honda,WR-V,3,19000,Individual,Petrol,Manual,17.5,1199,88.7,5,835000
6033,Honda City,Honda,City,3,25000,Individual,Petrol,Automatic,18,1497,117.6,5,940000
6034,Hyundai Grand,Hyundai,Grand,6,80000,Dealer,Diesel,Manual,24,1120,70,5,520000
6035,Mahindra Bolero,Mahindra,Bolero,8,59000,Individual,Diesel,Manual,15.96,2523,62.1,7,651000
6036,Nissan X-Trail,Nissan,X-Trail,10,110000,Individual,Diesel,Manual,14.42,1995,147.6,5,1100000
6037,Mahindra XUV500,Mahindra,XUV500,7,150000,Individual,Diesel,Manual,15.1,2179,140,7,725000
6038,Skoda Rapid,Skoda,Rapid,4,10000,Dealer,Petrol,Automatic,14.3,1598,103.52,5,1120000
6039,Maruti Baleno,Maruti,Baleno,5,72000,Dealer,Diesel,Manual,27.39,1248,74,5,675000
6040,Audi Q3,Audi,Q3,4,100000,Dealer,Diesel,Automatic,15.73,1968,174.33,5,2500000
6041,Tata Bolt,Tata,Bolt,5,130000,Individual,Diesel,Manual,22.95,1248,74,5,380000
6042,Skoda Superb,Skoda,Superb,10,75000,Dealer,Diesel,Automatic,17.2,1968,138.1,5,725000
6043,Hyundai i20,Hyundai,i20,7,75000,Dealer,Diesel,Manual,22.54,1396,88.73,5,530000
6044,Toyota Innova,Toyota,Innova,13,185000,Dealer,Diesel,Manual,12.8,2494,102,7,710000
6045,Hyundai i20,Hyundai,i20,9,72200,Dealer,Diesel,Manual,21.9,1396,90,5,465000
6046,Tata Indica,Tata,Indica,11,57000,Dealer,Diesel,Manual,17,1405,71,5,142000
6047,Mahindra XUV500,Mahindra,XUV500,6,70000,Individual,Diesel,Manual,15.1,2179,140,7,800000
6048,Hyundai i20,Hyundai,i20,6,18745,Dealer,Petrol,Manual,18.6,1197,81.83,5,535000
6049,Ford Ecosport,Ford,Ecosport,4,120000,Individual,Diesel,Manual,22.77,1498,98.59,5,680000
6050,Nissan Micra,Nissan,Micra,7,32599,Dealer,Petrol,Manual,19.69,1198,67.04,5,345000
6051,Maruti Wagon R,Maruti,Wagon R,6,20365,Dealer,Petrol,Automatic,20.51,998,67,5,400000
6052,Honda Amaze,Honda,Amaze,2,20000,Individual,Petrol,Manual,19.5,1199,88.76,5,615000
6053,Honda Amaze,Honda,Amaze,7,36001,Dealer,Diesel,Manual,25.8,1498,98.6,5,485000
6054,Honda WR-V,Honda,WR-V,3,25000,Individual,Diesel,Manual,25.5,1498,98.6,5,900000
6055,Ford Ecosport,Ford,Ecosport,4,45400,Dealer,Petrol,Manual,18.88,999,123.24,5,700000
6056,Mahindra XUV500,Mahindra,XUV500,11,94000,Dealer,Diesel,Manual,16,2179,140,7,695000
6057,Audi A4,Audi,A4,6,84000,Dealer,Diesel,Automatic,18.25,1968,187.74,5,1950000
6058,BMW 5,BMW,5,9,85000,Dealer,Diesel,Automatic,18.48,1995,177,5,1525000
6059,Honda City,Honda,City,5,65000,Dealer,Petrol,Manual,17.8,1497,117.3,5,700000
6060,Skoda Laura,Skoda,Laura,10,72001,Dealer,Diesel,Automatic,20,1968,138.1,5,450000
6061,Maruti Swift Dzire,Maruti,Swift Dzire,9,153000,Dealer,Diesel,Manual,23.4,1248,74,5,380000
6062,Mahindra Scorpio,Mahindra,Scorpio,2,40000,Individual,Diesel,Manual,16.36,2179,120,7,1200000
6063,Mahindra Scorpio,Mahindra,Scorpio,5,48000,Dealer,Diesel,Manual,15.4,1997,120,7,990000
6064,Maruti Swift,Maruti,Swift,9,40000,Individual,Diesel,Manual,22.9,1248,74,5,400000
6065,Hyundai Grand,Hyundai,Grand,5,100000,Individual,Petrol,Manual,18.9,1197,82,5,430000
6066,Ford Aspire,Ford,Aspire,4,24000,Dealer,Diesel,Manual,25.83,1498,99,5,690000
6067,Hyundai Grand,Hyundai,Grand,7,15408,Dealer,Petrol,Manual,18.9,1197,81.86,5,470000
6068,Maruti Esteem,Maruti,Esteem,14,55319,Dealer,CNG,Manual,15.9,1298,85,5,135000
6069,Honda Jazz,Honda,Jazz,6,39800,Dealer,Petrol,Manual,18.7,1199,88.7,5,585000
6070,Datsun RediGO,Datsun,RediGO,4,45138,Dealer,Petrol,Manual,22.5,999,67,5,322000
6071,Toyota Fortuner,Toyota,Fortuner,3,60000,Individual,Diesel,Manual,14.24,2755,174.5,7,2700000
6072,Hyundai Creta,Hyundai,Creta,4,63000,Individual,Diesel,Manual,21.38,1396,88.7,5,1100000
6073,Jaguar XE,Jaguar,XE,4,91795,Dealer,Diesel,Automatic,13.5,1999,177,5,2950000
6074,Maruti Swift Dzire,Maruti,Swift Dzire,8,56000,Dealer,Petrol,Manual,19.1,1197,85.8,5,430000
6075,Chevrolet Beat,Chevrolet,Beat,10,120000,Individual,Petrol,Manual,18.6,1199,79.4,5,130000
6076,Hyundai Grand,Hyundai,Grand,4,19000,Individual,Petrol,Manual,18.9,1197,82,5,560000
6077,Maruti Swift Dzire,Maruti,Swift Dzire,7,85000,Dealer,Diesel,Manual,23.4,1248,74,5,595000
6078,Maruti Swift,Maruti,Swift,3,50000,Individual,Diesel,Automatic,28.4,1248,74,5,793000
6079,Hyundai i20,Hyundai,i20,2,40000,Individual,Diesel,Manual,22.54,1396,88.76,5,725000
6080,Tata Tiago,Tata,Tiago,3,42000,Dealer,Petrol,Manual,23.84,1199,84,5,520000
6081,Toyota Etios,Toyota,Etios,9,119000,Dealer,Diesel,Manual,23.59,1364,67.04,5,365000
6082,Mahindra Marazzo,Mahindra,Marazzo,3,45906,Individual,Diesel,Manual,17.3,1497,121,7,1200000
6083,Hyundai i20,Hyundai,i20,4,39000,Individual,Petrol,Manual,18.6,1197,81.83,5,570000
6084,Maruti Swift Dzire,Maruti,Swift Dzire,4,70000,Individual,Petrol,Manual,20.85,1197,83.14,5,475000
6085,Tata Nexon,Tata,Nexon,3,30000,Individual,Petrol,Manual,17,1198,108.5,5,750000
6086,Maruti Swift Dzire,Maruti,Swift Dzire,5,29456,Dealer,Petrol,Manual,17.5,1197,85.8,5,550000
6087,Toyota Etios,Toyota,Etios,7,90000,Individual,Diesel,Manual,23.59,1364,67.04,5,480000
6088,Honda WR-V,Honda,WR-V,3,33000,Dealer,Petrol,Manual,17.5,1199,88.7,5,825000
6089,Mahindra Bolero,Mahindra,Bolero,15,120000,Individual,Diesel,Manual,13.6,2523,63,7,300000
6090,Hyundai i10,Hyundai,i10,8,60343,Dealer,LPG,Manual,19,1086,68.1,5,403000
6091,Tata Indigo,Tata,Indigo,7,50000,Individual,Diesel,Manual,19.09,1405,69.01,5,275000
6092,Toyota Innova,Toyota,Innova,6,192000,Dealer,Diesel,Manual,12.99,2494,100.6,8,1225000
6093,Skoda Octavia,Skoda,Octavia,6,89000,Dealer,Diesel,Automatic,19.3,1968,141,5,1295000
6094,Skoda Yeti,Skoda,Yeti,9,137801,Individual,Diesel,Manual,17.72,1968,108.49,5,600000
6095,Volvo XC,Volvo,XC,8,122000,Dealer,Diesel,Automatic,11.1,2400,200,7,2450000
6096,Maruti Ignis,Maruti,Ignis,3,25000,Individual,Petrol,Automatic,20.89,1197,81.8,5,580000
6097,Maruti Wagon R,Maruti,Wagon R,4,50000,Individual,Petrol,Manual,20.51,998,67.04,5,380000
6098,Maruti Swift Dzire,Maruti,Swift Dzire,4,70000,Individual,Diesel,Manual,28.4,1248,74.02,5,690000
6099,Hyundai EON,Hyundai,EON,5,5000,Individual,Petrol,Manual,21.1,814,55.2,5,300000
6100,Hyundai Santro,Hyundai,Santro,10,74000,Dealer,LPG,Manual,13.45,1086,62.1,5,250000
6101,Nissan Micra,Nissan,Micra,5,31000,Dealer,Petrol,Automatic,19.34,1198,76,5,580000
6102,Toyota Corolla,Toyota,Corolla,17,147000,Individual,Petrol,Manual,13.4,1794,125,5,80000
6103,Hyundai i20,Hyundai,i20,9,68000,Dealer,Diesel,Manual,21.9,1396,88.8,5,370000
6104,Maruti Wagon R,Maruti,Wagon R,13,105379,Dealer,CNG,Manual,26.6,998,58.16,5,219000
6105,Chevrolet Enjoy,Chevrolet,Enjoy,4,90000,Individual,Petrol,Manual,13.7,1399,98.79,8,460000
6106,Hyundai i20,Hyundai,i20,8,50000,Individual,Diesel,Manual,21.9,1396,88.8,5,420000
6107,Honda City,Honda,City,11,115000,Individual,Petrol,Manual,17,1497,118,5,375000
6108,Honda City,Honda,City,6,80000,Dealer,Diesel,Manual,26,1498,98.6,5,675000
6109,Tata Indica,Tata,Indica,11,120000,Individual,Diesel,Manual,17.2,1396,53.5,5,100000
6110,Hyundai Verna,Hyundai,Verna,7,80000,Individual,Petrol,Automatic,17.1,1591,121.4,5,630000
6111,Toyota Corolla,Toyota,Corolla,8,100000,Dealer,Diesel,Manual,21.43,1364,87.2,5,625000
6112,Toyota Innova,Toyota,Innova,5,60000,Individual,Diesel,Automatic,11.36,2755,171.5,7,1800000
6113,Hyundai Grand,Hyundai,Grand,3,36000,Dealer,Petrol,Manual,18.9,1197,82,5,540000
6114,Hyundai Creta,Hyundai,Creta,2,51000,Dealer,Diesel,Manual,21.38,1396,88.7,5,1150000
6115,Renault KWID,Renault,KWID,6,19000,Dealer,Petrol,Manual,20.71,799,53.26,5,335000
6116,Honda Amaze,Honda,Amaze,1,10000,Individual,Petrol,Manual,18.6,1199,88.76,5,680000
6117,Honda City,Honda,City,6,83000,Dealer,Diesel,Manual,26,1498,98.6,5,675000
6118,Maruti Alto,Maruti,Alto,15,100000,Individual,Petrol,Manual,19.7,796,46.3,5,62000
6119,Maruti Alto,Maruti,Alto,9,79000,Dealer,Petrol,Manual,19.7,796,46.3,5,200000
6120,Mahindra Xylo,Mahindra,Xylo,7,70000,Dealer,Diesel,Manual,14.02,2179,118.3,7,380000
6121,Tata Safari,Tata,Safari,13,150000,Individual,Diesel,Manual,11.57,2179,138.1,7,300000
6122,Volkswagen Vento,Volkswagen,Vento,3,33000,Dealer,Diesel,Automatic,21.21,1498,103.2,5,925000
6123,Honda City,Honda,City,6,120000,Individual,Diesel,Manual,25.1,1498,98.6,5,787000
6124,Maruti Swift Dzire,Maruti,Swift Dzire,2,11000,Dealer,Petrol,Automatic,22,1197,81.8,5,700000
6125,Maruti Baleno,Maruti,Baleno,2,16780,Dealer,Petrol,Manual,21.01,1197,81.8,5,695000
6126,Hyundai Grand,Hyundai,Grand,2,5000,Individual,Diesel,Manual,24,1186,73.97,5,590000
6127,Chevrolet Spark,Chevrolet,Spark,14,50000,Individual,Petrol,Manual,16,995,63,5,100000
6128,Honda Amaze,Honda,Amaze,5,62156,Dealer,Diesel,Manual,25.8,1498,98.6,5,500000
6129,Mahindra Verito,Mahindra,Verito,9,220000,Individual,Diesel,Manual,21.03,1461,65,5,200000
6130,Nissan Sunny,Nissan,Sunny,4,12000,Dealer,Petrol,Manual,16.95,1498,97.7,5,595000
6131,Hyundai Verna,Hyundai,Verna,3,30000,Individual,Petrol,Manual,17,1591,121.3,5,850000
6132,Hyundai i20,Hyundai,i20,7,75000,Dealer,Diesel,Manual,23,1396,90,5,600000
6133,Maruti Wagon R,Maruti,Wagon R,6,17205,Dealer,Petrol,Manual,20.51,998,67.04,5,400000
6134,Maruti Zen,Maruti,Zen,10,80000,Individual,Petrol,Manual,19,998,67.1,5,195000
6135,Maruti Wagon R,Maruti,Wagon R,9,83000,Dealer,Petrol,Manual,18.9,998,67.1,5,285000
6136,Maruti Wagon R,Maruti,Wagon R,7,50000,Individual,Petrol,Manual,20.51,998,67.04,5,351000
6137,Hyundai Santro,Hyundai,Santro,2,7395,Dealer,Petrol,Manual,20.3,1086,68,5,480000
6138,Maruti 800,Maruti,800,22,26000,Individual,Petrol,Manual,16.1,796,37,4,50000
6139,Maruti Celerio,Maruti,Celerio,3,10000,Individual,Petrol,Automatic,21.63,998,67,5,510000
6140,Maruti Baleno,Maruti,Baleno,5,60150,Dealer,Petrol,Manual,21.01,1197,81.8,5,600000
6141,Ford Fiesta,Ford,Fiesta,14,120000,Individual,Diesel,Manual,17.8,1399,68,5,160000
6142,Maruti Swift,Maruti,Swift,4,50000,Dealer,Diesel,Manual,28.4,1248,74,5,680000
6143,Mahindra Bolero,Mahindra,Bolero,14,120000,Individual,Diesel,Manual,13.6,2523,63,8,190000
6144,Ford Ecosport,Ford,Ecosport,7,40000,Individual,Petrol,Manual,15.8,1499,110,5,500000
6145,Honda BRV,Honda,BRV,3,25000,Individual,Petrol,Automatic,15.4,1497,117.3,7,1156000
6146,Hyundai Verna,Hyundai,Verna,7,67500,Dealer,Diesel,Manual,22.32,1582,126.32,5,685000
6147,Hyundai Grand,Hyundai,Grand,4,35000,Individual,Petrol,Manual,18.9,1197,81.86,5,510000
6148,Mercedes-Benz M-Class,Mercedes-Benz,M-Class,7,40000,Dealer,Diesel,Automatic,15.26,2143,203.2,5,3500000
6149,Maruti Swift,Maruti,Swift,6,178000,Individual,Diesel,Manual,25.2,1248,74,5,530000
6150,Maruti Swift Dzire,Maruti,Swift Dzire,5,50000,Individual,Diesel,Manual,26.59,1248,74,5,600000
6151,Hyundai i20,Hyundai,i20,7,64000,Dealer,Diesel,Manual,22.54,1396,88.73,5,540000
6152,Maruti Wagon R,Maruti,Wagon R,16,90000,Individual,Petrol,Manual,14,1061,64,5,115000
6153,Chevrolet Tavera,Chevrolet,Tavera,7,120000,Individual,Diesel,Manual,14.8,1994,105.3,8,500000
6154,Audi A4,Audi,A4,8,80000,Individual,Petrol,Automatic,15.64,1798,167.62,5,1485000
6155,Skoda Fabia,Skoda,Fabia,10,147000,Dealer,Diesel,Manual,19.5,1199,75,5,310000
6156,Honda City,Honda,City,7,99000,Dealer,Diesel,Manual,25.1,1498,98.6,5,649000
6157,Hyundai Verna,Hyundai,Verna,9,100000,Individual,Diesel,Manual,22.32,1582,126.3,5,360000
6158,Maruti Swift Dzire,Maruti,Swift Dzire,3,52300,Dealer,Diesel,Manual,26.59,1248,74,5,660000
6159,Maruti Celerio,Maruti,Celerio,6,23121,Dealer,Petrol,Automatic,23.1,998,67.04,5,461000
6160,Honda City,Honda,City,8,52438,Dealer,Petrol,Manual,16.9,1497,100,5,420000
6161,Maruti Alto,Maruti,Alto,4,27265,Dealer,Petrol,Automatic,23.95,998,67.1,5,371000
6162,Maruti Swift Dzire,Maruti,Swift Dzire,4,120000,Individual,CNG,Manual,19,1197,85.8,5,525000
6163,Maruti Wagon R,Maruti,Wagon R,3,2000,Dealer,Petrol,Manual,20.51,998,67.06,5,450000
6164,Maruti Swift Dzire,Maruti,Swift Dzire,12,38000,Individual,Petrol,Manual,17.5,1197,85.8,5,249000
6165,Maruti Alto,Maruti,Alto,4,23701,Dealer,Petrol,Manual,24.7,796,47.3,5,312000
6166,Hyundai i20,Hyundai,i20,3,53861,Dealer,Diesel,Manual,23,1396,90,5,832000
6167,Hyundai Verna,Hyundai,Verna,13,85753,Dealer,Diesel,Manual,18.1,1493,110,5,250000
6168,Tata Indigo,Tata,Indigo,10,35000,Individual,Diesel,Manual,17,1405,70,5,210000
6169,Skoda Fabia,Skoda,Fabia,10,70396,Dealer,Diesel,Manual,19.5,1199,75,5,325000
6170,Hyundai Grand,Hyundai,Grand,4,31734,Dealer,Petrol,Manual,18.9,1197,81.86,5,578000
6171,Maruti Ciaz,Maruti,Ciaz,6,70000,Individual,Diesel,Manual,28.09,1248,88.5,5,475000
6172,Nissan Sunny,Nissan,Sunny,3,42000,Dealer,Diesel,Manual,21.64,1461,84.8,5,745000
6173,Hyundai Grand,Hyundai,Grand,8,58000,Dealer,Diesel,Manual,24,1120,70,5,399000
6174,Hyundai Creta,Hyundai,Creta,4,41275,Dealer,Petrol,Automatic,13,1591,121.3,5,1150000
6175,Maruti S-Presso,Maruti,S-Presso,1,4500,Individual,Petrol,Manual,21.7,998,67,5,550000
6176,Mahindra Xylo,Mahindra,Xylo,1,35000,Individual,Diesel,Manual,14.95,2489,93.7,7,900000
6177,Hyundai Xcent,Hyundai,Xcent,4,35000,Individual,Petrol,Manual,20.14,1197,81.86,5,500000
6178,Mahindra Ssangyong,Mahindra,Ssangyong,8,160000,Individual,Diesel,Automatic,11.18,2696,184,7,800000
6179,Toyota Yaris,Toyota,Yaris,2,19000,Dealer,Petrol,Automatic,17.8,1496,105.5,5,1042000
6180,Volkswagen CrossPolo,Volkswagen,CrossPolo,7,56000,Dealer,Diesel,Manual,20.14,1498,88.5,5,550000
6181,Maruti Alto,Maruti,Alto,10,50000,Individual,Petrol,Manual,20.92,998,67.1,5,230000
6182,Renault KWID,Renault,KWID,3,29000,Dealer,Petrol,Manual,23.01,999,67,5,370000
6183,Volkswagen Polo,Volkswagen,Polo,8,113566,Dealer,Diesel,Manual,22.07,1199,73.9,5,415000
6184,Honda City,Honda,City,2,12000,Dealer,Diesel,Manual,25.6,1498,97.9,5,1080000
6185,Toyota Fortuner,Toyota,Fortuner,3,9000,Dealer,Diesel,Automatic,12.9,2755,174.5,7,3400000
